animal_id,animal_project_code,tag_serial_number,tag_type,tag_subtype,acoustic_tag_id,acoustic_tag_id_alternative,scientific_name,common_name,aphia_id,animal_label,animal_nickname,tagger,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,capture_depth,capture_temperature_change,release_date_time,release_location,release_latitude,release_longitude,recapture_date_time,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,wild_or_hatchery,stock,surgery_date_time,surgery_location,surgery_latitude,surgery_longitude,treatment_type,tagging_type,tagging_methodology,dna_sample,sedative,sedative_concentration,anaesthetic,buffer,anaesthetic_concentration,buffer_concentration_in_anaesthetic,anaesthetic_concentration_in_recirculation,buffer_concentration_in_recirculation,dissolved_oxygen,pre_surgery_holding_period,post_surgery_holding_period,holding_temperature,comments
3171,ADST-Shark,"1293314,1293314","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3820,A69-9006-3821",",",Mustelus asterias,Starry smooth-hound,105821,7901,,",",2018-07-19T07:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T08:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.61525,3.657683333,,total length,71,cm,,,,,,,,,,,,,,female,unknown,wild,,2018-07-19T07:45:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 07:45
3172,ADST-Shark,"1293321,1293321","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3835,A69-9006-3834",",",Mustelus asterias,Starry smooth-hound,105821,7912,,",",2018-07-19T08:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T08:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.612733,3.6447,,total length,81,cm,,,,,,,,,,,,,,male,adult,wild,,2018-07-19T08:09:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 8:09
3173,ADST-Shark,"1293315,1293315","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3823,A69-9006-3822",",",Mustelus asterias,Starry smooth-hound,105821,7913,,",",2018-07-19T08:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T08:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.610683,3.6485,,total length,82,cm,,,,,,,,,,,,,,male,adult,wild,,2018-07-19T08:29:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 8:29
3174,ADST-Shark,"1293316,1293316","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3825,A69-9006-3824",",",Mustelus asterias,Starry smooth-hound,105821,7902,,",",2018-07-19T08:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T09:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.610017,3.6496,,total length,73,cm,,,,,,,,,,,,,,male,adult,wild,,2018-07-19T08:53:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 8:53
3175,ADST-Shark,"1293322,1293322","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3836,A69-9006-3837",",",Mustelus asterias,Starry smooth-hound,105821,7903,,",",2018-07-19T08:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T09:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.610017,3.6496,2019-09-29T00:00:00Z,total length,80,cm,,,,,,,,,,,,,,female,unknown,wild,,2018-07-19T08:53:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 8:53
3176,ADST-Shark,"1293317,1293317","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3827,A69-9006-3826",",",Mustelus asterias,Starry smooth-hound,105821,7904,,",",2018-07-19T09:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T10:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.616867,3.664883,2018-09-29T00:00:00Z,total length,80,cm,,,,,,,,,,,,,,female,unknown,wild,,2018-07-19T09:48:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,"UTC tag activation time 9:48
 found at the beach on 29.09.2018 at the west coast of Texel, close to Paal 11'68.
Issue with transmitter: is actually coded for ID3836"
3177,ADST-Shark,"1293318,1293318","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3829,A69-9006-3828",",",Mustelus asterias,Starry smooth-hound,105821,7905,,",",2018-07-19T11:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T12:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.61195,3.65025,,total length,79,cm,,,,,,,,,,,,,,female,unknown,wild,,2018-07-19T11:32:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 11:32
3178,ADST-Shark,"1293319,1293319","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3831,A69-9006-3830",",",Mustelus asterias,Starry smooth-hound,105821,7906,,",",2018-07-19T11:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T12:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.611767,3.649833,2018-08-21T00:00:00Z,total length,73,cm,,,,,,,,,,,,,,female,unknown,wild,,2018-07-19T11:48:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,"UTC tag activation time 11:48, found on 51°49'32.4""N 3°53'30.4""E"
3179,ADST-Shark,"1293320,1293320","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3833,A69-9006-3832",",",Mustelus asterias,Starry smooth-hound,105821,7907,,",",2018-07-19T12:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T12:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.6169,3.643167,,total length,81,cm,,,,,,,,,,,,,,male,adult,wild,,2018-07-19T12:06:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 12:06
3180,ADST-Shark,"1293293,1293293","acoustic-archival,acoustic-archival","animal,animal","A69-9006-3779,A69-9006-3778",",",Mustelus asterias,Starry smooth-hound,105821,7908,,",",2018-07-19T12:00:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,,,line fishing,3-20m,,2018-07-19T12:30:00Z,Directly west from southern section of gates in the Oosterschelde storm surge,51.61085,3.652567,,total length,78,cm,,,,,,,,,,,,,,male,adult,wild,,2018-07-19T12:25:00Z,"on boat, near catch location",,,,"internal,internal","abdominal cavity, closed with 2-3 stitches,abdominal cavity, closed with 2-3 stitches",no,Tonic immobility,,,,,,,,,,,,UTC tag activation time 12:25
