deployment_id,receiver_id,acoustic_project_code,station_name,station_description,station_manager,deploy_date_time,deploy_latitude,deploy_longitude,intended_latitude,intended_longitude,mooring_type,bottom_depth,riser_length,deploy_depth,battery_installation_date,battery_estimated_end_date,activation_date_time,recover_date_time,recover_latitude,recover_longitude,download_date_time,download_file_name,valid_data_until_date_time,sync_date_time,time_drift,ar_battery_installation_date,ar_confirm,transmit_profile,transmit_power_output,log_temperature_stats_period,log_temperature_sample_period,log_tilt_sample_period,log_noise_stats_period,log_noise_sample_period,log_depth_stats_period,log_depth_sample_period,comments
10125,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2019-05-31T10:17:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,2019-12-04T00:00:00Z,,,2019-12-04T00:00:00Z,VR2W_126346_20191204_1.vrl,,,,,,,Low,,,,,,,,
10306,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2019-12-04T00:00:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,2020-06-16T00:00:00Z,,,2020-06-16T00:00:00Z,VR2W_126346_20200616_1.vrl,,,,,,,Low,,,,,,,,
10322,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2020-06-16T00:00:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,2021-02-22T00:00:00Z,,,2021-02-22T00:00:00Z,VR2W_126346_20210222_1.vrl,,,,,,,Low,,,,,,,,
12940,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2021-02-22T00:00:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,2021-07-20T00:00:00Z,,,2021-07-20T00:00:00Z,VR2W_126346_20210720_1.vrl,,,,,,,Low,,,,,,,,
12886,TBR700L-001247,MOBEIA,1,Cies Island,,2021-04-15T12:25:00Z,42.2107,-8.89837,,,bottom-mooring,,,,,,,2021-07-19T20:31:47Z,,,2021-07-19T20:31:47Z,20210719T203147Z_SN001247_0000000_0156932_002_TBRARW_Transmitter_Data_ETN.csv,,,,,,,,,,,,,,,
28499,TBR700L-001247,MOBEIA,1,Cies Island,,2021-07-19T20:32:47Z,42.2107,-8.89837,,,bottom-mooring,,,,,,,2022-01-19T10:38:32Z,,,2022-01-19T10:38:32Z,20220119T103832Z_SN001247_0000000_0459728_002_TBRARW_Transmitter_Data_ETN.csv,,,,,,,,,,,,,,,
12954,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2021-07-20T00:00:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,2022-01-19T00:00:00Z,,,2022-01-19T00:00:00Z,VR2W_126346_20220119_1.vrl,,,,,,,Low,,,,,,,,
15904,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2022-01-19T00:00:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,2022-06-15T00:00:00Z,,,2022-06-15T00:00:00Z,VR2W_126346_20220615_1.vrl,,,,,,,Low,,,,,,,,
28575,TBR700L-001247,MOBEIA,1,Cies Island,,2022-01-19T10:39:32Z,42.2107,-8.89837,,,bottom-mooring,,,,,,,2022-06-15T10:10:51Z,,,2022-06-15T10:10:51Z,20220615T101051Z_SN001247_0000000_0131702_002_TBRARW_Transmitter_Data_ETN.csv,,,,,,,,,,,,,,,
28420,VR2W-126346,MOBEIA,1,Cies Island,Alexandre Alonso-Fernandez,2022-06-15T00:00:00Z,42.2107,-8.89837,,,bottom-mooring,12,1,,,,,,,,,,,,,,,,Low,,,,,,,,
28646,TBR700L-001247,MOBEIA,1,Cies Island,,2022-06-15T10:11:51Z,42.2107,-8.89837,,,bottom-mooring,,,,,,,,,,,,,,,,,,,,,,,,,,
10126,VR2W-126348,MOBEIA,2,Cies Island,Alexandre Alonso-Fernandez,2019-05-13T11:13:00Z,42.2127,-8.90528,,,bottom-mooring,11.5,1,,,,,2019-12-04T00:00:00Z,,,2019-12-04T00:00:00Z,VR2W_126348_20191204_1.vrl,,,,,,,Low,,,,,,,,
10293,VR2W-126348,MOBEIA,2,Cies Island,Alexandre Alonso-Fernandez,2019-12-04T00:00:00Z,42.2127,-8.90528,,,bottom-mooring,11.5,1,,,,,2020-06-16T00:00:00Z,,,2020-06-16T00:00:00Z,VR2W_126348_20200616_1.vrl,,,,,,,Low,,,,,,,,
10313,VR2W-126348,MOBEIA,2,Cies Island,Alexandre Alonso-Fernandez,2020-06-16T00:00:00Z,42.2127,-8.90528,,,bottom-mooring,11.5,1,,,,,2021-01-15T00:00:00Z,,,2021-01-15T00:00:00Z,VR2W_126348_20210115_1.vrl,,,,,,,Low,,,,,,,,
12932,VR2W-126348,MOBEIA,2,Cies Island,Alexandre Alonso-Fernandez,2021-01-15T00:00:00Z,42.2127,-8.90528,,,bottom-mooring,11.5,1,,,,,2021-07-21T00:00:00Z,,,2021-07-21T00:00:00Z,VR2W_126348_20210721_1.vrl,,,,,,,Low,,,,,,,,
12887,TBR700L-001251,MOBEIA,2,Cies Island,,2021-04-22T09:52:00Z,42.2127,-8.90528,,,bottom-mooring,,,,,,,2021-07-19T19:55:58Z,,,2021-07-19T19:55:58Z,20210719T195558Z_SN001251_0000000_0081841_002_TBRARW_Transmitter_Data_ETN.csv,,,,,,,,,,,,,,,
