receiver_id,manufacturer,receiver_model,receiver_serial_number,modem_address,status,battery_estimated_life,owner_organization,financing_project,built_in_acoustic_tag_id,ar_model,ar_serial_number,ar_battery_estimated_life,ar_voltage_at_deploy,ar_interrogate_code,ar_receive_frequency,ar_reply_frequency,ar_ping_rate,ar_enable_code_address,ar_release_code,ar_disable_code,ar_tilt_code,ar_tilt_after_deploy
TBR700L-001199,THELMA BIOTEL,TBR700L,001199,,active,517,,MOBEIA,,,,,,,,,,,,,,
TBR700L-001200,THELMA BIOTEL,TBR700L,001200,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001201,THELMA BIOTEL,TBR700L,001201,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001202,THELMA BIOTEL,TBR700L,001202,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001203,THELMA BIOTEL,TBR700L,001203,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001204,THELMA BIOTEL,TBR700L,001204,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001238,THELMA BIOTEL,TBR700L,001238,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001240,THELMA BIOTEL,TBR700L,001240,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001241,THELMA BIOTEL,TBR700L,001241,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001242,THELMA BIOTEL,TBR700L,001242,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001243,THELMA BIOTEL,TBR700L,001243,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001244,THELMA BIOTEL,TBR700L,001244,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001245,THELMA BIOTEL,TBR700L,001245,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001246,THELMA BIOTEL,TBR700L,001246,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001247,THELMA BIOTEL,TBR700L,001247,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001248,THELMA BIOTEL,TBR700L,001248,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001249,THELMA BIOTEL,TBR700L,001249,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001250,THELMA BIOTEL,TBR700L,001250,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001251,THELMA BIOTEL,TBR700L,001251,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001252,THELMA BIOTEL,TBR700L,001252,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001254,THELMA BIOTEL,TBR700L,001254,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001257,THELMA BIOTEL,TBR700L,001257,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001258,THELMA BIOTEL,TBR700L,001258,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001259,THELMA BIOTEL,TBR700L,001259,,active,517,,,,,,,,,,,,,,,,
TBR700L-001260,THELMA BIOTEL,TBR700L,001260,,active,517,,,,,,,,,,,,,,,,
TBR700L-001264,THELMA BIOTEL,TBR700L,001264,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001265,THELMA BIOTEL,TBR700L,001265,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001266,THELMA BIOTEL,TBR700L,001266,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001267,THELMA BIOTEL,TBR700L,001267,,active,517,,no_info,,,,,,,,,,,,,,
TBR700L-001268,THELMA BIOTEL,TBR700L,001268,,active,517,,no_info,,,,,,,,,,,,,,
TBR800 RELEASE-2085,THELMA BIOTEL,TBR800 RELEASE,2085,,available,730,VLIZ,FISHINTEL,,,,,,,,,,,,,,
TBR800-002678,THELMA BIOTEL,TBR800,002678,,active,730,VLIZ,lifewatch,,,,,,,,,,,,,,
TBR800-002679,THELMA BIOTEL,TBR800,002679,,active,730,VLIZ,lifewatch,,,,,,,,,,,,,,
TBR800-002681,THELMA BIOTEL,TBR800,002681,,active,730,VLIZ,lifewatch,,,,,,,,,,,,,,
TBR800-002685,THELMA BIOTEL,TBR800,002685,,active,730,VLIZ,lifewatch,,,,,,,,,,,,,,
TBR800-2067,THELMA BIOTEL,TBR800,2067,,active,730,VLIZ,FISHINTEL,,,,,,,,,,,,,,
