tag_serial_number,tag_type,tag_subtype,sensor_type,acoustic_tag_id,acoustic_tag_id_alternative,manufacturer,model,frequency,status,activation_date,battery_estimated_life,battery_estimated_end_date,length,diameter,weight,floating,archive_memory,sensor_slope,sensor_intercept,sensor_range,sensor_range_min,sensor_range_max,sensor_resolution,sensor_unit,sensor_accuracy,sensor_transmit_ratio,accelerometer_algorithm,accelerometer_samples_per_second,owner_organization,owner_pi,financing_project,step1_min_delay,step1_max_delay,step1_power,step1_duration,step1_acceleration_duration,step2_min_delay,step2_max_delay,step2_power,step2_duration,step2_acceleration_duration,step3_min_delay,step3_max_delay,step3_power,step3_duration,step3_acceleration_duration,step4_min_delay,step4_max_delay,step4_power,step4_duration,step4_acceleration_duration,tag_id,tag_device_id
1293293,acoustic-archival,animal,pressure,A69-9006-3779,,VEMCO,V13TP-1x,,ended,2018-07-19T12:30:00Z,518,2019-12-19T12:30:00Z,,,,,,0,-1,68,,,,Meters,,3,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1939,325
1293293,acoustic-archival,animal,temperature,A69-9006-3778,,VEMCO,V13TP-1x,,ended,2018-07-19T12:30:00Z,518,2019-12-19T12:30:00Z,,,,,,0,-5,-5 to 35,,,,°C,,1,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1938,325
1293294,acoustic-archival,animal,pressure,A69-9006-3781,,VEMCO,V13TP-1x,,ended,2018-07-19T13:00:00Z,518,2019-12-19T13:00:00Z,,,,,,0,-1,68,,,,Meters,,3,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1940,326
1293294,acoustic-archival,animal,temperature,A69-9006-3780,,VEMCO,V13TP-1x,,ended,2018-07-19T13:00:00Z,518,2019-12-19T13:00:00Z,,,,,,0,-5,-5 to 35,,,,°C,,1,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1941,326
1293295,acoustic-archival,animal,temperature,A69-9006-3782,,VEMCO,V13TP-1x,,ended,2018-07-19T13:00:00Z,518,2019-12-19T13:00:00Z,,,,,,0,-5,-5 to 35,,,,°C,,1,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1942,327
1293295,acoustic-archival,animal,pressure,A69-9006-3783,,VEMCO,V13TP-1x,,ended,2018-07-19T13:00:00Z,518,2019-12-19T13:00:00Z,,,,,,0,-1,68,,,,Meters,,3,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1943,327
1293296,acoustic-archival,animal,pressure,A69-9006-3785,,VEMCO,V13TP-1x,,ended,2018-07-19T13:00:00Z,518,2019-12-19T13:00:00Z,,,,,,0,-1,68,,,,Meters,,3,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1945,328
1293296,acoustic-archival,animal,temperature,A69-9006-3784,,VEMCO,V13TP-1x,,ended,2018-07-19T13:00:00Z,518,2019-12-19T13:00:00Z,,,,,,0,-5,-5 to 35,,,,°C,,1,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1944,328
1293297,acoustic-archival,animal,temperature,A69-9006-3786,,VEMCO,V13TP-1x,,ended,,518,2020-01-02T09:30:00Z,,,,,,0,-5,-5 to 35,,,,°C,,1,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1947,329
1293297,acoustic-archival,animal,pressure,A69-9006-3787,,VEMCO,V13TP-1x,,ended,,518,2020-01-02T09:30:00Z,,,,,,0,-1,68,,,,Meters,,3,,,VLIZ,Jan Reubens,,100,200,H,523,,,,L,365,,,,L,0,,,,L,0,,archive:1946,329
