tag,animal_project_code,utcReleaseDateTime,scientificName,commonName,captureLocation,personId,animalId,estTagLife,endDateTag,catchedDateTime,captureLatitude,captureLongitude,captureDepth,recaptureDate,releaseLocation,releaseLatitude,releaseLongitude,lifeStage,wildOrHatchery,length,lengthType,lengthUnits,length2,length2Type,length2Units,length3,length3Type,length3Units,length4,length4Type,length4Units,weight,weightUnits,comments,projectmember,captureMethod,sex,surgeryLatitude,surgeryLongitude,surgeryLocation,dateOfSurgery,idPk,aphiaId,externalId,sensorReadings,retrievalDevice
R64K-1,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52806,105923,LESPUR-1,,
R64K-10,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52807,105923,LESPUR-10,,
S256-11,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52808,105923,LESPUR-11,,
S256-12,,"2016-07-20 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-20 03:00",56.4641,-5.3461,,2022-07-06,"LOCH ETIVE",56.4641,-5.3461,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52809,105923,LESPUR-12,,
A69-1601-41266,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52810,105923,LESPUR-1238836-2016-07-22,,
A69-1601-41267,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52811,105923,LESPUR-1238837-2016-07-22,,
A69-1601-41271,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52812,105923,LESPUR-1238841-2016-07-21,,
A69-1601-41272,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52813,105923,LESPUR-1238842-2016-07-21,,
A69-1601-41273,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52814,105923,LESPUR-1238843-2016-07-21,,
A69-1601-41274,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52815,105923,LESPUR-1238844-2016-07-22,,
A69-1601-41275,,"2016-07-22 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-22 03:00",56.455973,-5.407398,,2022-07-06,"LOCH ETIVE",56.455973,-5.407398,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52816,105923,LESPUR-1238845-2016-07-22,,
A69-1601-41276,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52817,105923,LESPUR-1238846-2016-07-21,,
A69-1601-41277,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,M,,,,2022-07-06,52818,105923,LESPUR-1238847-2016-07-21,,
A69-1601-41278,,"2016-07-21 03:00","Squalus acanthias",spurdog,"LOCH ETIVE",,,,,"2016-07-21 03:00",56.47616,-5.15622,,2022-07-06,"LOCH ETIVE",56.47616,-5.15622,,W,,TOTAL,,,,,,,,,,,,,,,,F,,,,2022-07-06,52819,105923,LESPUR-1238848-2016-07-21,,
